,epoch,x,y,z
1,1.53471E+12,-2.279296875,-2.515625,4.245117188
2,1.53471E+12,-2.1328125,-2.821777344,4.837402344
3,1.53471E+12,-1.079589844,-3.687011719,3.988769531
4,1.53471E+12,-1.596191406,-4.1015625,3.045410156
5,1.53471E+12,-2.685058594,-4.040039063,2.290527344
6,1.53471E+12,-3.02734375,-2.846679688,1.762207031
7,1.53471E+12,-2.716308594,-1.833496094,1.699707031
8,1.53471E+12,-2.193847656,-1.430175781,1.416992188
9,1.53471E+12,-1.830566406,-1.401367188,0.921875
10,1.53471E+12,-1.578125,-1.436523438,0.561523438
11,1.53471E+12,-1.594726563,-1.462890625,0.2265625
12,1.53471E+12,-1.736328125,-1.487304688,-0.057617188
13,1.53471E+12,-1.7578125,-1.53125,-0.072265625
14,1.53471E+12,-1.811523438,-1.685058594,-0.027832031
15,1.53471E+12,-1.990722656,-1.763183594,-0.071289063
16,1.53471E+12,-2.232910156,-1.831542969,-0.202636719
17,1.53471E+12,-2.466308594,-1.874511719,-0.298828125
18,1.53471E+12,-2.77734375,-1.856445313,-0.292480469
19,1.53471E+12,-2.94140625,-1.909179688,-0.044921875
20,1.53471E+12,-2.7109375,-2.010742188,0.148925781
21,1.53471E+12,-2.081542969,-2.08203125,-0.126953125
22,1.53471E+12,-1.292480469,-2.024414063,-0.724121094
23,1.53471E+12,0.420410156,-1.99609375,-1.173339844
24,1.53471E+12,2.21875,-1.890625,-1.596191406
25,1.53471E+12,3.404296875,-1.673828125,-2.437011719
26,1.53471E+12,5.291015625,-1.936523438,-3.608886719
27,1.53471E+12,5.554199219,-1.936035156,-3.975097656
28,1.53471E+12,4.470214844,-1.935546875,-3.458496094
29,1.53471E+12,2.907226563,-1.94140625,-2.037109375
30,1.53471E+12,0.897460938,-2.025878906,-0.903320313
31,1.53471E+12,-0.593261719,-1.997558594,-0.638671875
32,1.53471E+12,-1.883789063,-2.122558594,-0.533691406
33,1.53471E+12,-2.721191406,-2.320800781,-0.202636719
34,1.53471E+12,-2.887695313,-2.3828125,0.068359375
35,1.53471E+12,-3.174804688,-2.0390625,-0.041503906
36,1.53471E+12,-3.181640625,-1.758300781,-0.216796875
37,1.53471E+12,-2.833984375,-1.508300781,-0.174804688
38,1.53471E+12,-2.405761719,-1.320800781,-0.024902344
39,1.53471E+12,-2.05859375,-1.249511719,0.057128906
40,1.53471E+12,-1.825683594,-1.198242188,-0.024414063
41,1.53471E+12,-1.887695313,-1.203613281,-0.0546875
42,1.53471E+12,-1.916992188,-1.438476563,0.03515625
1,1.53471E+12,-1.725097656,-1.395019531,0.364746094
2,1.53471E+12,-1.590820313,-1.149414063,0.911621094
3,1.53471E+12,-1.41015625,-1.071777344,1.731933594
4,1.53471E+12,-1.911621094,-1.537597656,2.7578125
5,1.53471E+12,-2.435546875,-2.458984375,3.583984375
6,1.53471E+12,-2.71875,-2.956054688,4.461914063
7,1.53471E+12,-3.064941406,-3.088378906,5.322265625
8,1.53471E+12,-2.672363281,-3.872070313,4.859863281
9,1.53471E+12,-2.496582031,-3.896484375,3.729003906
10,1.53471E+12,-3.196777344,-3.603027344,2.722167969
11,1.53471E+12,-3.274902344,-2.545898438,2.075683594
12,1.53471E+12,-2.8125,-1.887695313,1.617675781
13,1.53471E+12,-2.358398438,-1.66015625,1.1640625
14,1.53471E+12,-1.900878906,-1.599609375,0.732421875
15,1.53471E+12,-1.703125,-1.601074219,0.375976563
16,1.53471E+12,-1.75390625,-1.592773438,0.106933594
17,1.53471E+12,-1.764160156,-1.655761719,0.019042969
18,1.53471E+12,-1.849121094,-1.824707031,0.088867188
19,1.53471E+12,-1.950195313,-1.995117188,0.088378906
20,1.53471E+12,-2.041503906,-2.073242188,-0.065429688
21,1.53471E+12,-2.264160156,-2.1796875,-0.243164063
22,1.53471E+12,-2.518554688,-2.232421875,-0.311523438
23,1.53471E+12,-2.369140625,-2.177734375,-0.194335938
24,1.53471E+12,-2.180175781,-2.041503906,-0.115722656
25,1.53471E+12,-1.970214844,-1.970214844,-0.209960938
26,1.53471E+12,-1.600585938,-1.973632813,-0.520019531
27,1.53471E+12,-0.92578125,-1.942871094,-0.999023438
28,1.53471E+12,0.402832031,-1.796386719,-1.597167969
29,1.53471E+12,2.106933594,-1.666503906,-1.921386719
30,1.53471E+12,3.795410156,-1.667480469,-2.497558594
31,1.53471E+12,5.136230469,-1.986816406,-3.891113281
32,1.53471E+12,5.40234375,-1.78125,-4.375
33,1.53471E+12,4.20703125,-1.700683594,-3.515136719
34,1.53471E+12,2.207519531,-1.815917969,-1.981445313
35,1.53471E+12,-0.087402344,-2.146972656,-0.958496094
36,1.53471E+12,-1.720214844,-2.21875,-0.70703125
37,1.53471E+12,-3.015136719,-2.2578125,-0.458007813
38,1.53471E+12,-3.196289063,-2.159179688,-0.076171875
39,1.53471E+12,-2.985839844,-1.908203125,0.019042969
40,1.53471E+12,-3.109375,-1.831054688,-0.072265625
41,1.53471E+12,-2.9375,-1.585449219,-0.032714844
42,1.53471E+12,-2.495605469,-1.376464844,0.0546875
43,1.53471E+12,-2.203125,-1.340820313,0.036621094
44,1.53471E+12,-2.229492188,-1.407226563,0.055175781
45,1.53471E+12,-2.14453125,-1.484375,0.066894531
46,1.53471E+12,-1.833496094,-1.432128906,0.065429688
47,1.53471E+12,-1.552246094,-1.41015625,0.587402344
48,1.53471E+12,-1.624023438,-1.246582031,1.83984375
49,1.53471E+12,-1.076171875,-0.759765625,2.68359375
50,1.53471E+12,-0.981445313,-1.079589844,2.557128906
51,1.53471E+12,-2.6796875,-1.986816406,3.880859375
1,1.53471E+12,-3.8359375,-2.09765625,4.717285156
2,1.53471E+12,-3.720703125,-2.850585938,4.153808594
3,1.53471E+12,-3.249023438,-4.432617188,2.647460938
4,1.53471E+12,-3.157226563,-4.096191406,2.119140625
5,1.53471E+12,-3.431640625,-3.21484375,1.961425781
6,1.53471E+12,-3.263671875,-2.09375,1.49609375
7,1.53471E+12,-2.734375,-1.252929688,1.37890625
8,1.53471E+12,-2.322265625,-0.962402344,1.16015625
9,1.53471E+12,-1.988769531,-1.12109375,0.71484375
10,1.53471E+12,-1.715332031,-1.348632813,0.364746094
11,1.53471E+12,-1.655273438,-1.539550781,0.078613281
12,1.53471E+12,-1.731933594,-1.702636719,-0.060546875
13,1.53471E+12,-1.743164063,-1.822753906,-0.075683594
14,1.53471E+12,-1.782714844,-1.846679688,0.015136719
15,1.53471E+12,-1.929199219,-1.859863281,-0.005371094
16,1.53471E+12,-2.139648438,-1.870117188,-0.134765625
17,1.53471E+12,-2.140136719,-1.868164063,-0.159667969
18,1.53471E+12,-2.00390625,-1.829589844,-0.042480469
19,1.53471E+12,-2.049804688,-1.768066406,0.100585938
20,1.53471E+12,-1.979980469,-1.800292969,0.076171875
21,1.53471E+12,-1.609375,-1.79296875,-0.187011719
22,1.53471E+12,-0.898925781,-1.737792969,-0.604003906
23,1.53471E+12,0.604492188,-1.589355469,-1.338867188
24,1.53471E+12,2.32421875,-1.668945313,-1.602050781
25,1.53471E+12,3.930175781,-2.169433594,-2.296875
26,1.53471E+12,6.116699219,-2.29296875,-3.96875
27,1.53471E+12,5.952148438,-1.879394531,-4.25390625
28,1.53471E+12,4.46875,-1.751464844,-2.983886719
29,1.53471E+12,1.974609375,-1.857910156,-1.303710938
30,1.53471E+12,-0.669921875,-2.129882813,-0.750488281
31,1.53471E+12,-2.3359375,-2.399902344,-0.926757813
32,1.53471E+12,-3.534179688,-2.293457031,-0.409667969
33,1.53471E+12,-3.106445313,-2.049804688,0.142089844
34,1.53471E+12,-2.770019531,-1.627929688,0.126464844
35,1.53471E+12,-2.703613281,-1.428222656,-0.16796875
36,1.53471E+12,-2.715332031,-1.322265625,-0.22265625
37,1.53471E+12,-2.487304688,-1.200195313,0.004882813
38,1.53471E+12,-2.096679688,-1.095214844,0.154785156
39,1.53471E+12,-1.627441406,-1.032226563,0.045898438
40,1.53471E+12,-1.439941406,-1.068359375,-0.206542969
41,1.53471E+12,-1.529296875,-1.256835938,-0.336914063
42,1.53471E+12,-1.551269531,-1.493652344,-0.065917969
